"URL","from","to","weight","betweenness.edges"
"https://www.altmetric.com/details/12125570","@m_clem","@JustinSandefur",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@StephKrenrich",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@KMA164",1,1
"https://www.altmetric.com/details/12125570","@i_aver","@FebFershman",1,1
"https://www.altmetric.com/details/12125570","@AndrewBeatty","@Midge200",1,1
"https://www.altmetric.com/details/12125570","@m_clem","@johnleemk",1,1
"https://www.altmetric.com/details/12125570","@theNASEM","@Chem_Consult",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@DianaBialkowski",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@bfm4440",1,2
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@Firemdc780",1,1
"https://www.altmetric.com/details/12125570","@theNASciences","@zvavanyanger3",1,1
"https://www.altmetric.com/details/12125570","@QMartindale","@jeffreybecker73",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@sceptress",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@jj90",1,1
"https://www.altmetric.com/details/12125570","@NumbersUSA","@steveniyogi",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@ncartwright34",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@jallepap",1,2
"https://www.altmetric.com/details/12125570","@da_wessel","@Lpg0827",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@LbMoult",1,1
"https://www.altmetric.com/details/12125570","@i_aver","@KJPritchard4",1,1
"https://www.altmetric.com/details/12125570","@ErrataRob","@GadflyQuebec",1,1
"https://www.altmetric.com/details/12125570","@eileendefreest","@caroljdavy",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@tcas101",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@Maelli14",1,2
"https://www.altmetric.com/details/12125570","@JynErso_2017","@milkwhitemolib2",1,2
"https://www.altmetric.com/details/12125570","@menjivar_ceci","@KUmigration",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@CPD_AK",1,1
"https://www.altmetric.com/details/12125570","@Noahpinion","@CarlosCruzRued2",1,2
"https://www.altmetric.com/details/12125570","@eileendefreest","@summer7570",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@sasha031",1,1
"https://www.altmetric.com/details/12125570","@JynErso_2017","@KristiReyes1",1,2
"https://www.altmetric.com/details/12125570","@pkedrosky","@harshybar",1,1
"https://www.altmetric.com/details/12125570","@i_aver","@KarenLTaylor2",1,1
"https://www.altmetric.com/details/12125570","@JodyAVallejo","@awhisleriv",1,2
"https://www.altmetric.com/details/12125570","@WestWingReport","@CAResists",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@ert02794711",1,1
"https://www.altmetric.com/details/12125570","@Prof_MPastor","@JDKun",1,1
"https://www.altmetric.com/details/12125570","@David_J_Bier","@skohayes",1,1
"https://www.altmetric.com/details/12125570","@WestWingReport","@Lehigh389",1,1
"https://www.altmetric.com/details/12125570","@pkedrosky","@SuzanneWaldman",1,1
"https://www.altmetric.com/details/12125570","@BryanDeanWright","@mygrove",1,1
